event_id,tenant_id,event_type,entity_id,actor_id,payload_json,previous_hash,event_hash,created_at
10,acme-demo,action_evaluated,demo-request-008,identity-agent,"{""outcome"":""allow"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""POLICY_CHECKS_PASSED""],""tool_name"":""verify_identity"",""workflow"":""it_access""}",471f2befc22741b20dd234a551bf12271d9ae3a4ece6327671eab233654d01f2,931be67ee9814aa600964079c193c83240bb80e5a2134eeb7972ca2dcb5dc95a,2026-08-28T09:00:09+00:00
9,acme-demo,action_evaluated,demo-request-007,data-agent,"{""outcome"":""review"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""HUMAN_APPROVAL_REQUIRED""],""tool_name"":""export_customer_data"",""workflow"":""data_export""}",d473955e57fbb5d1545e8d3357a9dd47e7f43c150fb1ea80fb8f6b4ac242e1d7,471f2befc22741b20dd234a551bf12271d9ae3a4ece6327671eab233654d01f2,2026-08-28T09:00:08+00:00
8,acme-demo,action_evaluated,demo-request-006,data-agent,"{""outcome"":""deny"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""PII_REDACTION_REQUIRED""],""tool_name"":""export_customer_data"",""workflow"":""data_export""}",ddfe9863e88c1540b1703f4463dd899fdb2340ef6f3a175eecfb5f59fd219e75,d473955e57fbb5d1545e8d3357a9dd47e7f43c150fb1ea80fb8f6b4ac242e1d7,2026-08-28T09:00:07+00:00
7,acme-demo,action_evaluated,demo-request-005,email-agent,"{""outcome"":""deny"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""UNTRUSTED_CONTEXT_WRITE""],""tool_name"":""send_email"",""workflow"":""email""}",1ec2ee07cf61b31dbd58c5027b47c39c4f75f9b56300394e208fbc212359fc0a,ddfe9863e88c1540b1703f4463dd899fdb2340ef6f3a175eecfb5f59fd219e75,2026-08-28T09:00:06+00:00
6,acme-demo,action_evaluated,demo-request-004,email-agent,"{""outcome"":""deny"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""DRAFT_INTENT_CANNOT_SEND""],""tool_name"":""send_email"",""workflow"":""email""}",e436ff8af1e3538cdb282b0296a26e0715a0899252e763e3ece0b1718deb1e50,1ec2ee07cf61b31dbd58c5027b47c39c4f75f9b56300394e208fbc212359fc0a,2026-08-28T09:00:05+00:00
5,acme-demo,action_evaluated,demo-request-003,refund-agent,"{""outcome"":""deny"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""EXPLICIT_USER_CONFIRMATION_REQUIRED""],""tool_name"":""refund_order"",""workflow"":""refund""}",144f662ec323f7d18ff78efd403eea4792ead49327c8acc28a5f395a2adc7195,e436ff8af1e3538cdb282b0296a26e0715a0899252e763e3ece0b1718deb1e50,2026-08-28T09:00:04+00:00
4,acme-demo,action_evaluated,demo-request-002,refund-agent,"{""outcome"":""review"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""HUMAN_APPROVAL_REQUIRED""],""tool_name"":""refund_order"",""workflow"":""refund""}",d54f582628d1e20c579860a52eb12cb91844508bcc49ec42724427a02be85e27,144f662ec323f7d18ff78efd403eea4792ead49327c8acc28a5f395a2adc7195,2026-08-28T09:00:03+00:00
3,acme-demo,execution_result_recorded,demo-request-001,get_order-service,"{""external_reference"":""synthetic-demo-request-001"",""status"":""succeeded"",""tool_name"":""get_order""}",35c31c2e06d0b9c79615ae35f5e416c134e743a76ccb49d7e17315d63e0ca0b7,d54f582628d1e20c579860a52eb12cb91844508bcc49ec42724427a02be85e27,2026-08-28T09:00:02+00:00
2,acme-demo,grant_consumed,grt_3a9ec0f06c744a41aac683b6847c7720,get_order-service,"{""request_id"":""demo-request-001"",""tool_name"":""get_order""}",e3dfd3b01f64249de2a5cb833e23b399e604811040b18f5199209845e88a1aa2,35c31c2e06d0b9c79615ae35f5e416c134e743a76ccb49d7e17315d63e0ca0b7,2026-08-28T09:00:01+00:00
1,acme-demo,action_evaluated,demo-request-001,support-agent,"{""outcome"":""allow"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""POLICY_CHECKS_PASSED""],""tool_name"":""get_order"",""workflow"":""refund""}",0000000000000000000000000000000000000000000000000000000000000000,e3dfd3b01f64249de2a5cb833e23b399e604811040b18f5199209845e88a1aa2,2026-08-28T09:00:00+00:00
